name,Constructor,fullname,position
Indian Grand Prix,Toro Rosso,Jean-eric Vergne,18
Indian Grand Prix,Williams,Bruno Senna,13
Indian Grand Prix,Williams,Pastor Maldonado,9
Italian Grand Prix,Caterham,Heikki Kovalainen,18
Italian Grand Prix,Caterham,Vitaly Petrov,19
Italian Grand Prix,Ferrari,Felipe Massa,3
Italian Grand Prix,Ferrari,Fernando Alonso,10
Italian Grand Prix,Force India,Paul di Resta,4
Italian Grand Prix,HRT,Narain Karthikeyan,22
Italian Grand Prix,HRT,Pedro de la Rosa,23
Italian Grand Prix,Lotus F1,Jerome d'Ambrosio,16
Italian Grand Prix,Lotus F1,Kimi Raikkonen,8
Italian Grand Prix,Marussia,Charles Pic,21
Italian Grand Prix,Marussia,Timo Glock,20
Italian Grand Prix,McLaren,Jenson Button,2
Italian Grand Prix,McLaren,Lewis Hamilton,1
Italian Grand Prix,Mercedes,Michael Schumacher,5
Italian Grand Prix,Mercedes,Nico Rosberg,7
Italian Grand Prix,Red Bull,Mark Webber,11
Italian Grand Prix,Red Bull,Sebastian Vettel,6
Italian Grand Prix,Sauber,Kamui Kobayashi,9
Italian Grand Prix,Sauber,Sergio Perez,13
Italian Grand Prix,Toro Rosso,Daniel Ricciardo,15
Italian Grand Prix,Toro Rosso,Jean-eric Vergne,17
Italian Grand Prix,Williams,Bruno Senna,14
Italian Grand Prix,Williams,Pastor Maldonado,12
Japanese Grand Prix,Caterham,Heikki Kovalainen,19
Japanese Grand Prix,Caterham,Vitaly Petrov,23
Japanese Grand Prix,Ferrari,Felipe Massa,11
Japanese Grand Prix,Ferrari,Fernando Alonso,7
Japanese Grand Prix,Force India,Nico Hulkenberg,10
Japanese Grand Prix,Force India,Paul di Resta,12
Japanese Grand Prix,HRT,Narain Karthikeyan,24
Japanese Grand Prix,HRT,Pedro de la Rosa,21
Japanese Grand Prix,Lotus F1,Kimi Raikkonen,8
Japanese Grand Prix,Lotus F1,Romain Grosjean,5
Japanese Grand Prix,Marussia,Charles Pic,22
Japanese Grand Prix,Marussia,Timo Glock,20
Japanese Grand Prix,McLaren,Jenson Button,3
Japanese Grand Prix,McLaren,Lewis Hamilton,9
Japanese Grand Prix,Mercedes,Michael Schumacher,13
Japanese Grand Prix,Mercedes,Nico Rosberg,15
Japanese Grand Prix,Red Bull,Mark Webber,2
Japanese Grand Prix,Red Bull,Sebastian Vettel,1
Japanese Grand Prix,Sauber,Kamui Kobayashi,4
Japanese Grand Prix,Sauber,Sergio Perez,6
Japanese Grand Prix,Toro Rosso,Daniel Ricciardo,16
Japanese Grand Prix,Toro Rosso,Jean-eric Vergne,17
Japanese Grand Prix,Williams,Bruno Senna,18
Japanese Grand Prix,Williams,Pastor Maldonado,14
Korean Grand Prix,Caterham,Heikki Kovalainen,20
Korean Grand Prix,Caterham,Vitaly Petrov,19
Korean Grand Prix,Ferrari,Felipe Massa,6
Korean Grand Prix,Ferrari,Fernando Alonso,4
Korean Grand Prix,Force India,Nico Hulkenberg,8
Korean Grand Prix,Force India,Paul di Resta,14
Korean Grand Prix,HRT,Pedro de la Rosa,23
Korean Grand Prix,Lotus F1,Kimi Raikkonen,5
Korean Grand Prix,Lotus F1,Romain Grosjean,7
Korean Grand Prix,Marussia,Charles Pic,21
Korean Grand Prix,Marussia,Timo Glock,22
Korean Grand Prix,McLaren,Jenson Button,11
Korean Grand Prix,McLaren,Lewis Hamilton,3
Korean Grand Prix,Mercedes,Michael Schumacher,10
Korean Grand Prix,Mercedes,Nico Rosberg,9
Korean Grand Prix,Red Bull,Mark Webber,1
Korean Grand Prix,Red Bull,Sebastian Vettel,2
Korean Grand Prix,Sauber,Kamui Kobayashi,13
Korean Grand Prix,Sauber,Sergio Perez,12
Korean Grand Prix,Toro Rosso,Daniel Ricciardo,16
Korean Grand Prix,Toro Rosso,Jean-eric Vergne,17
Korean Grand Prix,Williams,Bruno Senna,18
Korean Grand Prix,Williams,Pastor Maldonado,15
Malaysian Grand Prix,Caterham,Heikki Kovalainen,19
Malaysian Grand Prix,Caterham,Vitaly Petrov,20
Malaysian Grand Prix,Ferrari,Felipe Massa,12
Malaysian Grand Prix,Ferrari,Fernando Alonso,9
Malaysian Grand Prix,Force India,Nico Hulkenberg,16
Malaysian Grand Prix,Force India,Paul di Resta,14
Malaysian Grand Prix,HRT,Narain Karthikeyan,24
Malaysian Grand Prix,HRT,Pedro de la Rosa,23
Malaysian Grand Prix,Lotus F1,Kimi Raikkonen,5
Malaysian Grand Prix,Lotus F1,Romain Grosjean,7
Malaysian Grand Prix,Marussia,Charles Pic,22
Malaysian Grand Prix,Marussia,Timo Glock,21
Malaysian Grand Prix,McLaren,Jenson Button,2
Malaysian Grand Prix,McLaren,Lewis Hamilton,1
Malaysian Grand Prix,Mercedes,Michael Schumacher,3
Malaysian Grand Prix,Mercedes,Nico Rosberg,8
Malaysian Grand Prix,Red Bull,Mark Webber,4
Malaysian Grand Prix,Red Bull,Sebastian Vettel,6
Malaysian Grand Prix,Sauber,Kamui Kobayashi,17
Malaysian Grand Prix,Sauber,Sergio Perez,10
Malaysian Grand Prix,Toro Rosso,Daniel Ricciardo,15
Malaysian Grand Prix,Toro Rosso,Jean-eric Vergne,18
Malaysian Grand Prix,Williams,Bruno Senna,13
Malaysian Grand Prix,Williams,Pastor Maldonado,11
Monaco Grand Prix,Caterham,Heikki Kovalainen,18
Monaco Grand Prix,Caterham,Vitaly Petrov,19
Monaco Grand Prix,Ferrari,Felipe Massa,7
Monaco Grand Prix,Ferrari,Fernando Alonso,6
Monaco Grand Prix,Force India,Nico Hulkenberg,11
Monaco Grand Prix,Force India,Paul di Resta,15
Monaco Grand Prix,HRT,Narain Karthikeyan,23
Monaco Grand Prix,HRT,Pedro de la Rosa,21
Monaco Grand Prix,Lotus F1,Kimi Raikkonen,8
Monaco Grand Prix,Lotus F1,Romain Grosjean,5
Monaco Grand Prix,Marussia,Charles Pic,22
Monaco Grand Prix,Marussia,Timo Glock,20
Monaco Grand Prix,McLaren,Jenson Button,13
Monaco Grand Prix,McLaren,Lewis Hamilton,4
Monaco Grand Prix,Mercedes,Michael Schumacher,1
Monaco Grand Prix,Mercedes,Nico Rosberg,3
Monaco Grand Prix,Red Bull,Mark Webber,2
Monaco Grand Prix,Red Bull,Sebastian Vettel,10
Monaco Grand Prix,Sauber,Kamui Kobayashi,12
Monaco Grand Prix,Toro Rosso,Daniel Ricciardo,16
Monaco Grand Prix,Toro Rosso,Jean-eric Vergne,17
Monaco Grand Prix,Williams,Bruno Senna,14
Monaco Grand Prix,Williams,Pastor Maldonado,9
Singapore Grand Prix,Caterham,Heikki Kovalainen,20
Singapore Grand Prix,Caterham,Vitaly Petrov,19
Singapore Grand Prix,Ferrari,Felipe Massa,13
Singapore Grand Prix,Ferrari,Fernando Alonso,5
Singapore Grand Prix,Force India,Nico Hulkenberg,11
Singapore Grand Prix,Force India,Paul di Resta,6
Singapore Grand Prix,HRT,Narain Karthikeyan,23
Singapore Grand Prix,HRT,Pedro de la Rosa,24
Singapore Grand Prix,Lotus F1,Kimi Raikkonen,12
Singapore Grand Prix,Lotus F1,Romain Grosjean,8
Singapore Grand Prix,Marussia,Charles Pic,22
Singapore Grand Prix,Marussia,Timo Glock,21
Singapore Grand Prix,McLaren,Jenson Button,4
Singapore Grand Prix,McLaren,Lewis Hamilton,1
Singapore Grand Prix,Mercedes,Michael Schumacher,9
Singapore Grand Prix,Mercedes,Nico Rosberg,10
Singapore Grand Prix,Red Bull,Mark Webber,7
Singapore Grand Prix,Red Bull,Sebastian Vettel,3
Singapore Grand Prix,Sauber,Kamui Kobayashi,18
Singapore Grand Prix,Sauber,Sergio Perez,14
Singapore Grand Prix,Toro Rosso,Daniel Ricciardo,15
Singapore Grand Prix,Toro Rosso,Jean-eric Vergne,16
Singapore Grand Prix,Williams,Bruno Senna,17
Singapore Grand Prix,Williams,Pastor Maldonado,2
Spanish Grand Prix,Caterham,Heikki Kovalainen,20
Spanish Grand Prix,Caterham,Vitaly Petrov,19
Spanish Grand Prix,Ferrari,Felipe Massa,17
Spanish Grand Prix,Ferrari,Fernando Alonso,3
Spanish Grand Prix,Force India,Nico Hulkenberg,14
Spanish Grand Prix,Force India,Paul di Resta,13
Spanish Grand Prix,HRT,Narain Karthikeyan,24
Spanish Grand Prix,HRT,Pedro de la Rosa,23
