raceId,year,name,forename,surname,q3,name,position
874,2012,"Japanese Grand Prix",Kamui,Kobayashi,1:31.700,Sauber,4
874,2012,"Japanese Grand Prix",Romain,Grosjean,1:31.898,"Lotus F1",5
874,2012,"Japanese Grand Prix",Sergio,Perez,1:32.022,Sauber,6
874,2012,"Japanese Grand Prix",Fernando,Alonso,1:32.114,Ferrari,7
874,2012,"Japanese Grand Prix",Kimi,Raikkonen,1:32.208,"Lotus F1",8
874,2012,"Japanese Grand Prix",Lewis,Hamilton,1:32.327,McLaren,9
874,2012,"Japanese Grand Prix",Nico,Hulkenberg,\N,"Force India",10
874,2012,"Japanese Grand Prix",Felipe,Massa,\N,Ferrari,11
874,2012,"Japanese Grand Prix",Paul,"di Resta",\N,"Force India",12
874,2012,"Japanese Grand Prix",Michael,Schumacher,\N,Mercedes,13
874,2012,"Japanese Grand Prix",Pastor,Maldonado,\N,Williams,14
874,2012,"Japanese Grand Prix",Nico,Rosberg,\N,Mercedes,15
874,2012,"Japanese Grand Prix",Daniel,Ricciardo,\N,"Toro Rosso",16
874,2012,"Japanese Grand Prix",Jean-eric,Vergne,\N,"Toro Rosso",17
874,2012,"Japanese Grand Prix",Bruno,Senna,\N,Williams,18
874,2012,"Japanese Grand Prix",Heikki,Kovalainen,\N,Caterham,19
874,2012,"Japanese Grand Prix",Timo,Glock,\N,Marussia,20
874,2012,"Japanese Grand Prix",Pedro,"de la Rosa",\N,HRT,21
874,2012,"Japanese Grand Prix",Charles,Pic,\N,Marussia,22
874,2012,"Japanese Grand Prix",Vitaly,Petrov,\N,Caterham,23
874,2012,"Japanese Grand Prix",Narain,Karthikeyan,\N,HRT,24
